_id,text
ObjectId("5e28fe3f9f32ef20387f42b0"),RT @lasillarota: ¡Cuidado! Estas son las colonias donde más roban mascotas https://t.co/votZTeHDOB
ObjectId("5e28fe3f9f32ef20387f42b1"),RT @lasillarota: ¡Cuidado! Estas son las colonias donde más roban mascotas https://t.co/votZTeHDOB
ObjectId("5e28fe3f9f32ef20387f42b2"),¡Cuidado! Estas son las colonias donde más roban mascotas https://t.co/votZTeHDOB
ObjectId("5e28fe3f9f32ef20387f42b3"),"La verdad es un delito que difícilmente voltean a ver, son casos que la policía no le pone tanto interés”: Carlos,… https://t.co/XzfENeL3wf
ObjectId("5e28fe3f9f32ef20387f42b4"),Elementos de la @SSP_CDMX detuvieron a un hombre por robo a casa habitación #AquíEnTlalpan. #CultivandoSeguridad… https://t.co/xP2TwMolaz
ObjectId("5e28fe3f9f32ef20387f42b5"),RT @PoligonoMH: @ConcejalesMH @LasGranadasMH @CBrandsMx @VecinocraciaMH @MHPoligono @ParquesPolanco8 @ANTICORRUPCIO17 @LagoAlbertoMH @2012i…
ObjectId("5e28fe3f9f32ef20387f42b6"),RT @lasillarota: ¿Cuál es la zona más peligrosa para pasear a tu mascota? Te dejamos el mapa con las colonias donde tu lomito corre más rie…
ObjectId("5e28fe3f9f32ef20387f42b7"),RT @Foro_TV: Robo y extorsión de mascotas en la CDMX. https://t.co/417GHVzxm5 https://t.co/4M9EXXPQOT
ObjectId("5e28fe3f9f32ef20387f42b8"),RT @lasillarota: ¿Cuál es la zona más peligrosa para pasear a tu mascota? Te dejamos el mapa con las colonias donde tu lomito corre más rie…
ObjectId("5e28fe3f9f32ef20387f42b9"),RT @lasillarota: ¿Cuál es la zona más peligrosa para pasear a tu mascota? Te dejamos el mapa con las colonias donde tu lomito corre más rie…
ObjectId("5e28fe3f9f32ef20387f42ba"),¿Cuál es la zona más peligrosa para pasear a tu mascota? Te dejamos el mapa con las colonias donde tu lomito corre… https://t.co/0krS0upWUj
ObjectId("5e28fe3f9f32ef20387f42bb"),@CDMX_Semovi @LaSEMOVI A ver si es posible que se pongan a trabaja el robo y el abuso de taxistas con taxímetros "v… https://t.co/LixETwT0lk
ObjectId("5e28fe3f9f32ef20387f42bc"),RT @Armando_Mtz_A7: #AlMomento Agentes de inteligencia “Borus” @SSP_CDMX lograron detener a dos sujetos implicados en el robo a transeúntes…
